Dropout Rate,Hidden Dim,Learning Rate,Metric Type,Epoch,Training Value,Validation Value
0.2999999999999999,16,0.0010000000000000,Training Loss,1,0.9372429847717284,0.8991163969039917
0.2999999999999999,16,0.0010000000000000,Validation Loss,1,0.8991163969039917,0.9372429847717284
0.2999999999999999,16,0.0010000000000000,Training Loss,2,0.9227493405342102,0.8842423558235168
0.2999999999999999,16,0.0010000000000000,Validation Loss,2,0.8842423558235168,0.9227493405342102
0.2999999999999999,16,0.0010000000000000,Training Loss,3,0.9099456071853638,0.8695579171180725
0.2999999999999999,16,0.0010000000000000,Validation Loss,3,0.8695579171180725,0.9099456071853638
0.2999999999999999,16,0.0010000000000000,Training Loss,4,0.8945258855819702,0.8550447821617126
0.2999999999999999,16,0.0010000000000000,Validation Loss,4,0.8550447821617126,0.8945258855819702
0.2999999999999999,16,0.0010000000000000,Training Loss,5,0.8825762867927551,0.8406981825828552
0.2999999999999999,16,0.0010000000000000,Validation Loss,5,0.8406981825828552,0.8825762867927551
0.2999999999999999,16,0.0010000000000000,Training Loss,6,0.8698393702507019,0.8265227675437927
0.2999999999999999,16,0.0010000000000000,Validation Loss,6,0.8265227675437927,0.8698393702507019
0.2999999999999999,16,0.0010000000000000,Training Loss,7,0.8586633801460266,0.8124987483024597
0.2999999999999999,16,0.0010000000000000,Validation Loss,7,0.8124987483024597,0.8586633801460266
0.2999999999999999,16,0.0010000000000000,Training Loss,8,0.8418877124786377,0.7986157536506653
0.2999999999999999,16,0.0010000000000000,Validation Loss,8,0.7986157536506653,0.8418877124786377
0.2999999999999999,16,0.0010000000000000,Training Loss,9,0.8298202157020569,0.7848687171936035
0.2999999999999999,16,0.0010000000000000,Validation Loss,9,0.7848687171936035,0.8298202157020569
0.2999999999999999,16,0.0010000000000000,Training Loss,10,0.8178888559341431,0.7712631821632385
0.2999999999999999,16,0.0010000000000000,Validation Loss,10,0.7712631821632385,0.8178888559341431
0.2999999999999999,16,0.0010000000000000,Training Loss,11,0.8057904839515686,0.7577946186065674
0.2999999999999999,16,0.0010000000000000,Validation Loss,11,0.7577946186065674,0.8057904839515686
0.2999999999999999,16,0.0010000000000000,Training Loss,12,0.7934197783470154,0.7444700002670288
0.2999999999999999,16,0.0010000000000000,Validation Loss,12,0.7444700002670288,0.7934197783470154
0.2999999999999999,16,0.0010000000000000,Training Loss,13,0.7786154150962830,0.7312842011451721
0.2999999999999999,16,0.0010000000000000,Validation Loss,13,0.7312842011451721,0.7786154150962830
0.2999999999999999,16,0.0010000000000000,Training Loss,14,0.7697685956954956,0.7182388901710510
0.2999999999999999,16,0.0010000000000000,Validation Loss,14,0.7182388901710510,0.7697685956954956
0.2999999999999999,16,0.0010000000000000,Training Loss,15,0.7558407783508301,0.7053301334381104
0.2999999999999999,16,0.0010000000000000,Validation Loss,15,0.7053301334381104,0.7558407783508301
0.2999999999999999,16,0.0010000000000000,Training Loss,16,0.7456554770469666,0.6925609111785889
0.2999999999999999,16,0.0010000000000000,Validation Loss,16,0.6925609111785889,0.7456554770469666
0.2999999999999999,16,0.0010000000000000,Training Loss,17,0.7344418168067932,0.6799196004867554
0.2999999999999999,16,0.0010000000000000,Validation Loss,17,0.6799196004867554,0.7344418168067932
0.2999999999999999,16,0.0010000000000000,Training Loss,18,0.7231961488723755,0.6674069762229919
0.2999999999999999,16,0.0010000000000000,Validation Loss,18,0.6674069762229919,0.7231961488723755
0.2999999999999999,16,0.0010000000000000,Training Loss,19,0.7104176878929138,0.6550278663635254
0.2999999999999999,16,0.0010000000000000,Validation Loss,19,0.6550278663635254,0.7104176878929138
0.2999999999999999,16,0.0010000000000000,Training Loss,20,0.6984559297561646,0.6427760124206543
0.2999999999999999,16,0.0010000000000000,Validation Loss,20,0.6427760124206543,0.6984559297561646
0.2999999999999999,16,0.0010000000000000,Training Loss,21,0.6905515193939209,0.6306527853012085
0.2999999999999999,16,0.0010000000000000,Validation Loss,21,0.6306527853012085,0.6905515193939209
0.2999999999999999,16,0.0010000000000000,Training Loss,22,0.6815747022628784,0.6186479330062866
0.2999999999999999,16,0.0010000000000000,Validation Loss,22,0.6186479330062866,0.6815747022628784
0.2999999999999999,16,0.0010000000000000,Training Loss,23,0.6681109666824341,0.6067619919776917
0.2999999999999999,16,0.0010000000000000,Validation Loss,23,0.6067619919776917,0.6681109666824341
0.2999999999999999,16,0.0010000000000000,Training Loss,24,0.6583871245384216,0.5950000286102295
0.2999999999999999,16,0.0010000000000000,Validation Loss,24,0.5950000286102295,0.6583871245384216
0.2999999999999999,16,0.0010000000000000,Training Loss,25,0.6473125219345093,0.5833604931831360
0.2999999999999999,16,0.0010000000000000,Validation Loss,25,0.5833604931831360,0.6473125219345093
0.2999999999999999,16,0.0010000000000000,Training Loss,26,0.6350682973861694,0.5718483328819275
0.2999999999999999,16,0.0010000000000000,Validation Loss,26,0.5718483328819275,0.6350682973861694
0.2999999999999999,16,0.0010000000000000,Training Loss,27,0.6294257044792175,0.5604640245437622
0.2999999999999999,16,0.0010000000000000,Validation Loss,27,0.5604640245437622,0.6294257044792175
0.2999999999999999,16,0.0010000000000000,Training Loss,28,0.6175750494003296,0.5492118000984192
0.2999999999999999,16,0.0010000000000000,Validation Loss,28,0.5492118000984192,0.6175750494003296
0.2999999999999999,16,0.0010000000000000,Training Loss,29,0.6055420637130737,0.5380883812904358
0.2999999999999999,16,0.0010000000000000,Validation Loss,29,0.5380883812904358,0.6055420637130737
0.2999999999999999,16,0.0010000000000000,Training Loss,30,0.5953658223152161,0.5270976424217224
0.2999999999999999,16,0.0010000000000000,Validation Loss,30,0.5270976424217224,0.5953658223152161
0.2999999999999999,16,0.0010000000000000,Training Loss,31,0.5870615243911743,0.5162345170974731
0.2999999999999999,16,0.0010000000000000,Validation Loss,31,0.5162345170974731,0.5870615243911743
0.2999999999999999,16,0.0010000000000000,Training Loss,32,0.5769153833389282,0.5055050849914551
0.2999999999999999,16,0.0010000000000000,Validation Loss,32,0.5055050849914551,0.5769153833389282
0.2999999999999999,16,0.0010000000000000,Training Loss,33,0.5655856132507324,0.4949074685573578
0.2999999999999999,16,0.0010000000000000,Validation Loss,33,0.4949074685573578,0.5655856132507324
0.2999999999999999,16,0.0010000000000000,Training Loss,34,0.5575371980667114,0.4844462871551513
0.2999999999999999,16,0.0010000000000000,Validation Loss,34,0.4844462871551513,0.5575371980667114
0.2999999999999999,16,0.0010000000000000,Training Loss,35,0.5481474995613098,0.4741296172142029
0.2999999999999999,16,0.0010000000000000,Validation Loss,35,0.4741296172142029,0.5481474995613098
0.2999999999999999,16,0.0010000000000000,Training Loss,36,0.5372948050498962,0.4639475345611572
0.2999999999999999,16,0.0010000000000000,Validation Loss,36,0.4639475345611572,0.5372948050498962
0.2999999999999999,16,0.0010000000000000,Training Loss,37,0.5318134427070618,0.4539010226726532
0.2999999999999999,16,0.0010000000000000,Validation Loss,37,0.4539010226726532,0.5318134427070618
0.2999999999999999,16,0.0010000000000000,Training Loss,38,0.5193403959274292,0.4439908862113952
0.2999999999999999,16,0.0010000000000000,Validation Loss,38,0.4439908862113952,0.5193403959274292
0.2999999999999999,16,0.0010000000000000,Training Loss,39,0.5108487606048584,0.4342127144336700
0.2999999999999999,16,0.0010000000000000,Validation Loss,39,0.4342127144336700,0.5108487606048584
0.2999999999999999,16,0.0010000000000000,Training Loss,40,0.5043224692344666,0.4245694577693939
0.2999999999999999,16,0.0010000000000000,Validation Loss,40,0.4245694577693939,0.5043224692344666
0.2999999999999999,16,0.0010000000000000,Training Loss,41,0.4925276935100555,0.4150608479976654
0.2999999999999999,16,0.0010000000000000,Validation Loss,41,0.4150608479976654,0.4925276935100555
0.2999999999999999,16,0.0010000000000000,Training Loss,42,0.4864543080329895,0.4056878089904785
0.2999999999999999,16,0.0010000000000000,Validation Loss,42,0.4056878089904785,0.4864543080329895
0.2999999999999999,16,0.0010000000000000,Training Loss,43,0.4770000874996185,0.3964501917362213
0.2999999999999999,16,0.0010000000000000,Validation Loss,43,0.3964501917362213,0.4770000874996185
0.2999999999999999,16,0.0010000000000000,Training Loss,44,0.4697443842887878,0.3873491585254669
0.2999999999999999,16,0.0010000000000000,Validation Loss,44,0.3873491585254669,0.4697443842887878
0.2999999999999999,16,0.0010000000000000,Training Loss,45,0.4584848582744598,0.3783836960792541
0.2999999999999999,16,0.0010000000000000,Validation Loss,45,0.3783836960792541,0.4584848582744598
0.2999999999999999,16,0.0010000000000000,Training Loss,46,0.4552790820598602,0.3695579469203949
0.2999999999999999,16,0.0010000000000000,Validation Loss,46,0.3695579469203949,0.4552790820598602
0.2999999999999999,16,0.0010000000000000,Training Loss,47,0.4461549222469330,0.3608752787113189
0.2999999999999999,16,0.0010000000000000,Validation Loss,47,0.3608752787113189,0.4461549222469330
0.2999999999999999,16,0.0010000000000000,Training Loss,48,0.4364640712738037,0.3523341715335846
0.2999999999999999,16,0.0010000000000000,Validation Loss,48,0.3523341715335846,0.4364640712738037
0.2999999999999999,16,0.0010000000000000,Training Loss,49,0.4302940368652344,0.3439384400844574
0.2999999999999999,16,0.0010000000000000,Validation Loss,49,0.3439384400844574,0.4302940368652344
0.2999999999999999,16,0.0010000000000000,Training Loss,50,0.4233345687389374,0.3356936872005462
0.2999999999999999,16,0.0010000000000000,Validation Loss,50,0.3356936872005462,0.4233345687389374
0.2999999999999999,16,0.0010000000000000,Training Loss,51,0.4156597852706909,0.3275998234748840
0.2999999999999999,16,0.0010000000000000,Validation Loss,51,0.3275998234748840,0.4156597852706909
0.2999999999999999,16,0.0010000000000000,Training Loss,52,0.4093066453933716,0.3196593225002289
0.2999999999999999,16,0.0010000000000000,Validation Loss,52,0.3196593225002289,0.4093066453933716
0.2999999999999999,16,0.0010000000000000,Training Loss,53,0.3996350169181824,0.3118730187416076
0.2999999999999999,16,0.0010000000000000,Validation Loss,53,0.3118730187416076,0.3996350169181824
0.2999999999999999,16,0.0010000000000000,Training Loss,54,0.3958582282066345,0.3042451739311218
0.2999999999999999,16,0.0010000000000000,Validation Loss,54,0.3042451739311218,0.3958582282066345
0.2999999999999999,16,0.0010000000000000,Training Loss,55,0.3898262083530426,0.2967780530452728
0.2999999999999999,16,0.0010000000000000,Validation Loss,55,0.2967780530452728,0.3898262083530426
0.2999999999999999,16,0.0010000000000000,Training Loss,56,0.3824827969074249,0.2894716560840606
0.2999999999999999,16,0.0010000000000000,Validation Loss,56,0.2894716560840606,0.3824827969074249
0.2999999999999999,16,0.0010000000000000,Training Loss,57,0.3751301467418670,0.2823262512683868
0.2999999999999999,16,0.0010000000000000,Validation Loss,57,0.2823262512683868,0.3751301467418670
0.2999999999999999,16,0.0010000000000000,Training Loss,58,0.3680008351802826,0.2753441631793976
0.2999999999999999,16,0.0010000000000000,Validation Loss,58,0.2753441631793976,0.3680008351802826
0.2999999999999999,16,0.0010000000000000,Training Loss,59,0.3666281700134277,0.2685253918170929
0.2999999999999999,16,0.0010000000000000,Validation Loss,59,0.2685253918170929,0.3666281700134277
0.2999999999999999,16,0.0010000000000000,Training Loss,60,0.3543409407138824,0.2618716657161712
0.2999999999999999,16,0.0010000000000000,Validation Loss,60,0.2618716657161712,0.3543409407138824
0.2999999999999999,16,0.0010000000000000,Training Loss,61,0.3524778485298157,0.2553814947605133
0.2999999999999999,16,0.0010000000000000,Validation Loss,61,0.2553814947605133,0.3524778485298157
0.2999999999999999,16,0.0010000000000000,Training Loss,62,0.3459290266036987,0.2490531504154205
0.2999999999999999,16,0.0010000000000000,Validation Loss,62,0.2490531504154205,0.3459290266036987
0.2999999999999999,16,0.0010000000000000,Training Loss,63,0.3403089046478271,0.2428851425647735
0.2999999999999999,16,0.0010000000000000,Validation Loss,63,0.2428851425647735,0.3403089046478271
0.2999999999999999,16,0.0010000000000000,Training Loss,64,0.3377289474010467,0.2368775755167007
0.2999999999999999,16,0.0010000000000000,Validation Loss,64,0.2368775755167007,0.3377289474010467
0.2999999999999999,16,0.0010000000000000,Training Loss,65,0.3261008560657501,0.2310239970684051
0.2999999999999999,16,0.0010000000000000,Validation Loss,65,0.2310239970684051,0.3261008560657501
0.2999999999999999,16,0.0010000000000000,Training Loss,66,0.3250552415847778,0.2253302931785583
0.2999999999999999,16,0.0010000000000000,Validation Loss,66,0.2253302931785583,0.3250552415847778
0.2999999999999999,16,0.0010000000000000,Training Loss,67,0.3202378153800964,0.2197974324226379
0.2999999999999999,16,0.0010000000000000,Validation Loss,67,0.2197974324226379,0.3202378153800964
0.2999999999999999,16,0.0010000000000000,Training Loss,68,0.3147728443145752,0.2144234776496887
0.2999999999999999,16,0.0010000000000000,Validation Loss,68,0.2144234776496887,0.3147728443145752
0.2999999999999999,16,0.0010000000000000,Training Loss,69,0.3117612004280090,0.2092026174068451
0.2999999999999999,16,0.0010000000000000,Validation Loss,69,0.2092026174068451,0.3117612004280090
0.2999999999999999,16,0.0010000000000000,Training Loss,70,0.3067000806331634,0.2041329294443130
0.2999999999999999,16,0.0010000000000000,Validation Loss,70,0.2041329294443130,0.3067000806331634
0.2999999999999999,16,0.0010000000000000,Training Loss,71,0.3024662435054779,0.1992148905992508
0.2999999999999999,16,0.0010000000000000,Validation Loss,71,0.1992148905992508,0.3024662435054779
0.2999999999999999,16,0.0010000000000000,Training Loss,72,0.2944361567497253,0.1944404989480972
0.2999999999999999,16,0.0010000000000000,Validation Loss,72,0.1944404989480972,0.2944361567497253
0.2999999999999999,16,0.0010000000000000,Training Loss,73,0.2923154532909393,0.1898099929094314
0.2999999999999999,16,0.0010000000000000,Validation Loss,73,0.1898099929094314,0.2923154532909393
0.2999999999999999,16,0.0010000000000000,Training Loss,74,0.2874501347541809,0.1853247582912445
0.2999999999999999,16,0.0010000000000000,Validation Loss,74,0.1853247582912445,0.2874501347541809
0.2999999999999999,16,0.0010000000000000,Training Loss,75,0.2847213149070740,0.1809804886579513
0.2999999999999999,16,0.0010000000000000,Validation Loss,75,0.1809804886579513,0.2847213149070740
0.2999999999999999,16,0.0010000000000000,Training Loss,76,0.2832754254341125,0.1767689138650894
0.2999999999999999,16,0.0010000000000000,Validation Loss,76,0.1767689138650894,0.2832754254341125
0.2999999999999999,16,0.0010000000000000,Training Loss,77,0.2749426662921905,0.1726870238780975
0.2999999999999999,16,0.0010000000000000,Validation Loss,77,0.1726870238780975,0.2749426662921905
0.2999999999999999,16,0.0010000000000000,Training Loss,78,0.2745737433433532,0.1687337607145309
0.2999999999999999,16,0.0010000000000000,Validation Loss,78,0.1687337607145309,0.2745737433433532
0.2999999999999999,16,0.0010000000000000,Training Loss,79,0.2690131664276123,0.1649040877819061
0.2999999999999999,16,0.0010000000000000,Validation Loss,79,0.1649040877819061,0.2690131664276123
0.2999999999999999,16,0.0010000000000000,Training Loss,80,0.2658712565898895,0.1611932516098022
0.2999999999999999,16,0.0010000000000000,Validation Loss,80,0.1611932516098022,0.2658712565898895
0.2999999999999999,16,0.0010000000000000,Training Loss,81,0.2643463313579559,0.1576004326343536
0.2999999999999999,16,0.0010000000000000,Validation Loss,81,0.1576004326343536,0.2643463313579559
0.2999999999999999,16,0.0010000000000000,Training Loss,82,0.2606413960456848,0.1541188508272171
0.2999999999999999,16,0.0010000000000000,Validation Loss,82,0.1541188508272171,0.2606413960456848
0.2999999999999999,16,0.0010000000000000,Training Loss,83,0.2553340494632721,0.1507410258054733
0.2999999999999999,16,0.0010000000000000,Validation Loss,83,0.1507410258054733,0.2553340494632721
0.2999999999999999,16,0.0010000000000000,Training Loss,84,0.2524732947349548,0.1474681943655014
0.2999999999999999,16,0.0010000000000000,Validation Loss,84,0.1474681943655014,0.2524732947349548
0.2999999999999999,16,0.0010000000000000,Training Loss,85,0.2519015669822693,0.1442928165197372
0.2999999999999999,16,0.0010000000000000,Validation Loss,85,0.1442928165197372,0.2519015669822693
0.2999999999999999,16,0.0010000000000000,Training Loss,86,0.2479041516780853,0.1412139534950256
0.2999999999999999,16,0.0010000000000000,Validation Loss,86,0.1412139534950256,0.2479041516780853
0.2999999999999999,16,0.0010000000000000,Training Loss,87,0.2459874600172042,0.1382358968257904
0.2999999999999999,16,0.0010000000000000,Validation Loss,87,0.1382358968257904,0.2459874600172042
0.2999999999999999,16,0.0010000000000000,Training Loss,88,0.2443604767322540,0.1353463381528854
0.2999999999999999,16,0.0010000000000000,Validation Loss,88,0.1353463381528854,0.2443604767322540
0.2999999999999999,16,0.0010000000000000,Training Loss,89,0.2399043291807174,0.1325511932373047
0.2999999999999999,16,0.0010000000000000,Validation Loss,89,0.1325511932373047,0.2399043291807174
0.2999999999999999,16,0.0010000000000000,Training Loss,90,0.2377793639898300,0.1298501938581466
0.2999999999999999,16,0.0010000000000000,Validation Loss,90,0.1298501938581466,0.2377793639898300
0.2999999999999999,16,0.0010000000000000,Training Loss,91,0.2356473654508590,0.1272395104169845
0.2999999999999999,16,0.0010000000000000,Validation Loss,91,0.1272395104169845,0.2356473654508590
0.2999999999999999,16,0.0010000000000000,Training Loss,92,0.2332255542278289,0.1247128993272781
0.2999999999999999,16,0.0010000000000000,Validation Loss,92,0.1247128993272781,0.2332255542278289
0.2999999999999999,16,0.0010000000000000,Training Loss,93,0.2291504889726638,0.1222700998187065
0.2999999999999999,16,0.0010000000000000,Validation Loss,93,0.1222700998187065,0.2291504889726638
0.2999999999999999,16,0.0010000000000000,Training Loss,94,0.2284882515668869,0.1199068054556846
0.2999999999999999,16,0.0010000000000000,Validation Loss,94,0.1199068054556846,0.2284882515668869
0.2999999999999999,16,0.0010000000000000,Training Loss,95,0.2233500927686691,0.1176243349909782
0.2999999999999999,16,0.0010000000000000,Validation Loss,95,0.1176243349909782,0.2233500927686691
0.2999999999999999,16,0.0010000000000000,Training Loss,96,0.2241361886262893,0.1154173836112022
0.2999999999999999,16,0.0010000000000000,Validation Loss,96,0.1154173836112022,0.2241361886262893
0.2999999999999999,16,0.0010000000000000,Training Loss,97,0.2215511500835418,0.1132826432585716
0.2999999999999999,16,0.0010000000000000,Validation Loss,97,0.1132826432585716,0.2215511500835418
0.2999999999999999,16,0.0010000000000000,Training Loss,98,0.2193813025951385,0.1112158298492431
0.2999999999999999,16,0.0010000000000000,Validation Loss,98,0.1112158298492431,0.2193813025951385
0.2999999999999999,16,0.0010000000000000,Training Loss,99,0.2174348086118698,0.1092136576771736
0.2999999999999999,16,0.0010000000000000,Validation Loss,99,0.1092136576771736,0.2174348086118698
0.2999999999999999,16,0.0010000000000000,Training Loss,100,0.2170913964509964,0.1072764471173286
0.2999999999999999,16,0.0010000000000000,Validation Loss,100,0.1072764471173286,0.2170913964509964
0.2999999999999999,16,0.0010000000000000,R2 Score,N/A,0.8951000000000000,
0.2999999999999999,16,0.0010000000000000,MAE,N/A,0.2201000000000000,
0.2999999999999999,16,0.0050000000000000,Training Loss,1,1.2059451341629028,1.1663447618484497
0.2999999999999999,16,0.0050000000000000,Validation Loss,1,1.1663447618484497,1.2059451341629028
0.2999999999999999,16,0.0050000000000000,Training Loss,2,1.1510829925537109,1.1125203371047974
0.2999999999999999,16,0.0050000000000000,Validation Loss,2,1.1125203371047974,1.1510829925537109
0.2999999999999999,16,0.0050000000000000,Training Loss,3,1.0949876308441162,1.0623908042907717
0.2999999999999999,16,0.0050000000000000,Validation Loss,3,1.0623908042907717,1.0949876308441162
0.2999999999999999,16,0.0050000000000000,Training Loss,4,1.0441182851791382,1.0155713558197019
0.2999999999999999,16,0.0050000000000000,Validation Loss,4,1.0155713558197019,1.0441182851791382
0.2999999999999999,16,0.0050000000000000,Training Loss,5,1.0011744499206543,0.9715932011604308
0.2999999999999999,16,0.0050000000000000,Validation Loss,5,0.9715932011604308,1.0011744499206543
0.2999999999999999,16,0.0050000000000000,Training Loss,6,0.9583068490028380,0.9301437735557556
0.2999999999999999,16,0.0050000000000000,Validation Loss,6,0.9301437735557556,0.9583068490028380
0.2999999999999999,16,0.0050000000000000,Training Loss,7,0.9207733869552612,0.8906166553497314
0.2999999999999999,16,0.0050000000000000,Validation Loss,7,0.8906166553497314,0.9207733869552612
0.2999999999999999,16,0.0050000000000000,Training Loss,8,0.8838354945182800,0.8525011539459229
0.2999999999999999,16,0.0050000000000000,Validation Loss,8,0.8525011539459229,0.8838354945182800
0.2999999999999999,16,0.0050000000000000,Training Loss,9,0.8485054969787598,0.8153802156448364
0.2999999999999999,16,0.0050000000000000,Validation Loss,9,0.8153802156448364,0.8485054969787598
0.2999999999999999,16,0.0050000000000000,Training Loss,10,0.8165193200111389,0.7790282964706421
0.2999999999999999,16,0.0050000000000000,Validation Loss,10,0.7790282964706421,0.8165193200111389
0.2999999999999999,16,0.0050000000000000,Training Loss,11,0.7834336757659912,0.7432780861854553
0.2999999999999999,16,0.0050000000000000,Validation Loss,11,0.7432780861854553,0.7834336757659912
0.2999999999999999,16,0.0050000000000000,Training Loss,12,0.7517652511596680,0.7079421281814575
0.2999999999999999,16,0.0050000000000000,Validation Loss,12,0.7079421281814575,0.7517652511596680
0.2999999999999999,16,0.0050000000000000,Training Loss,13,0.7193018198013306,0.6727814078330994
0.2999999999999999,16,0.0050000000000000,Validation Loss,13,0.6727814078330994,0.7193018198013306
0.2999999999999999,16,0.0050000000000000,Training Loss,14,0.6908472180366516,0.6377040147781372
0.2999999999999999,16,0.0050000000000000,Validation Loss,14,0.6377040147781372,0.6908472180366516
0.2999999999999999,16,0.0050000000000000,Training Loss,15,0.6584301590919495,0.6025397181510925
0.2999999999999999,16,0.0050000000000000,Validation Loss,15,0.6025397181510925,0.6584301590919495
0.2999999999999999,16,0.0050000000000000,Training Loss,16,0.6274638772010803,0.5673606991767883
0.2999999999999999,16,0.0050000000000000,Validation Loss,16,0.5673606991767883,0.6274638772010803
0.2999999999999999,16,0.0050000000000000,Training Loss,17,0.5972774028778076,0.5323046445846558
0.2999999999999999,16,0.0050000000000000,Validation Loss,17,0.5323046445846558,0.5972774028778076
0.2999999999999999,16,0.0050000000000000,Training Loss,18,0.5646436214447021,0.4975146949291229
0.2999999999999999,16,0.0050000000000000,Validation Loss,18,0.4975146949291229,0.5646436214447021
0.2999999999999999,16,0.0050000000000000,Training Loss,19,0.5351899862289429,0.4631710350513458
0.2999999999999999,16,0.0050000000000000,Validation Loss,19,0.4631710350513458,0.5351899862289429
0.2999999999999999,16,0.0050000000000000,Training Loss,20,0.5054244995117188,0.4295294582843780
0.2999999999999999,16,0.0050000000000000,Validation Loss,20,0.4295294582843780,0.5054244995117188
0.2999999999999999,16,0.0050000000000000,Training Loss,21,0.4760480523109436,0.3968459665775299
